STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,HOUSEHOLD_TYPE,Household type,INCOME_PRINCIPAL,Earnings of the principal,INCOME_SPOUSE,Earnings of the spouse,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation status,CIVIL_STATUS,Civil status
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,AUT,Austria,AV_ITR,Average income tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,C_C2,"Couple, 2 children",AW100,100% of average wage,NOEARN_UNEMP,"No earnings, unemployed",A,Annual,2023,,6.717226,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,AUS,Australia,AV_R_EMPEE_SSC,Average rate of employees' social security contributions,PT_WG_EARN_G,Percentage of gross wage earnings,C_C2,"Couple, 2 children",AW100,100% of average wage,AW67,67% of average wage,A,Annual,2023,,0,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,NLD,Netherlands,AV_RITEESSC,Average rate of income tax and employees' social security contributions,PT_WG_EARN_G,Percentage of gross wage earnings,S_C0,"Single person, no children",AW67,67% of average wage,_Z,Not applicable,A,Annual,2023,,18.393443,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,HUN,Hungary,NIAT,Net income after taxes,XDC,National currency,S_C0,"Single person, no children",AW167,167% of average wage,_Z,Not applicable,A,Annual,2023,,7942841.947697,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,SWE,Sweden,AV_ITR,Average income tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,C_C2,"Couple, 2 children",AW100,100% of average wage,AW67,67% of average wage,A,Annual,2023,,15.648207,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,JPN,Japan,GLCBT,Gross labour costs before taxes,USD_PPP,"US dollars, PPP converted",S_C0,"Single person, no children",AW167,167% of average wage,_Z,Not applicable,A,Annual,2023,,102718.129167,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,USA,United States,INIAICUGW,Increase in net income after an increase of 1 currency unit in gross wages,XDC,National currency,S_C0,"Single person, no children",AW67,67% of average wage,_Z,Not applicable,A,Annual,2023,,0.940285,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,NLD,Netherlands,AV_TW,Average tax wedge,PT_COS_LB,Percentage of labour costs,C_C2,"Couple, 2 children",AW100,100% of average wage,AW67,67% of average wage,A,Annual,2023,,27.44663,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,IRL,Ireland,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW167,167% of average wage,_Z,Not applicable,A,Annual,2023,,56.776227,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,AUT,Austria,INIAICUGLC,Increase in net income after an increase of 1 currency unit in gross labour costs,XDC,National currency,C_C2,"Couple, 2 children",AW100,100% of average wage,AW67,67% of average wage,A,Annual,2023,,0.658374,,2,Two,0,Units,A,Normal value,M,Married person
